vertex_name,position_x,position_y
1,0.3264,0.4474
2,-0.5059,-0.2902
3,-0.1249,0.2345
4,-0.1339,-0.5327
5,0.317,0.1162
6,-0.1431,-0.3628
7,-0.4776,-0.07201
8,-0.7785,0.3749
9,-0.01248,0.3009
10,0.3208,0.1104
11,-0.3867,-0.582
12,-0.2076,-0.3612
13,-0.006754,0.2338
14,0.01388,-0.2459
15,0.1149,-0.07896
16,0.5413,-0.04084
17,-0.2277,-0.521
18,0.1706,0.1058
19,-0.2386,-0.02527
20,-0.2631,0.342
21,-0.3299,-0.03164
22,0.2335,-0.4597
23,0.0881,-1.042
24,0.1855,-0.3419
25,-0.7116,0.4114
26,-0.4812,-0.7683
27,-0.3291,-0.3413
28,0.2006,0.05323
29,0.4088,-0.2536
30,0.9484,0.0716
31,-0.2713,0.4282
32,-0.1066,0.179
33,-0.2115,1.037
34,-0.3504,0.3011
35,-0.393,-0.4126
36,-0.6389,-0.294
37,0.1535,0.6002
38,-0.1213,0.07106
39,-0.1722,-0.329
40,-0.2844,-0.7236
41,-0.2346,-0.3187
42,-0.03382,-0.1602
43,-0.05971,-0.2445
44,-0.9544,0.0904
45,-0.1784,-0.2884
46,-0.09185,-0.3787
47,-0.4388,0.05838
48,0.2407,0.3847
49,0.1055,-0.2963
50,-0.2138,-0.7342
51,-0.05763,-0.08127
52,-0.2194,-0.1034
53,-0.06662,-0.6052
54,-0.4222,0.2772
55,0.2015,-0.1336
56,0.2625,-0.4307
57,-0.3614,-0.7775
58,0.3671,-0.4103
59,1.121,0.1755
60,-0.6261,-0.1631
61,0.03078,0.1646
62,0.02205,-0.9739
63,-0.1563,-0.2479
64,0.2337,-0.3712
65,0.06626,-0.5988
66,-0.04375,-0.3577
67,-0.3342,-0.0737
68,0.4594,0.2161
69,-0.5856,-0.005665
70,0.1474,-0.08339
71,0.1059,0.1096
72,0.214,-0.03807
73,-0.2965,-0.1317
74,-0.2211,-0.02094
75,-0.003634,-0.2134
76,-0.02762,-0.8664
77,-0.5296,-0.2965
78,-0.06996,0.05249
79,-0.01917,-0.3838
80,0.47,-0.1482
81,0.7767,0.332
82,-0.1582,0.04663
83,0.03814,0.06751
84,0.2669,-0.05545
85,-0.2328,0.4831
86,-0.008771,-0.3274
87,-0.7164,-0.4391
88,0.4066,-0.2124
89,0.2292,-0.2427
90,0.01797,0.07285
91,0.3116,0.0699
92,0.08661,-0.4136
93,-0.281,-0.1687
94,0.1211,0.02
95,0.1141,-0.2525
96,0.2919,-0.4577
97,0.1325,-0.08822
98,-0.2569,-0.1976
99,0.0114,-0.3739
100,0.2962,-0.2304
101,-0.7426,-0.1119
102,0.2346,-0.476
103,-0.2891,0.1301
104,0.3833,0.5885
105,-0.1664,0.2023
106,0.1907,0.2417
107,0.4374,-0.4349
108,0.7218,-0.436
109,-0.8634,-0.8645
110,0.1254,0.3041
111,0.1364,0.1966
112,0.1505,-0.1296
113,-0.4278,-0.2429
114,-0.3565,-0.07228
115,0.2193,0.04037
116,-0.3091,0.6524
117,0.3575,-0.4965
118,0.08985,-0.5007
119,-0.4152,-0.636
120,-0.5396,-0.2978
121,0.2882,-0.4013
122,-0.08601,0.2362
123,0.3415,-0.2963
124,0.4624,-0.5262
125,0.163,-0.6408
126,0.1239,-0.6049
127,-0.2444,-0.2269
128,-0.0715,-0.6745
129,-0.03057,-0.6211
130,-0.06606,0.5487
131,-0.1516,-0.3432
132,-0.5557,-0.01608
133,0.03869,0.3385
134,-0.4357,-0.2544
135,-1.101,-0.2482
136,-0.1733,-0.5034
137,-0.2955,0.3961
138,-0.2517,-0.1315
139,-0.116,0.04424
140,-0.4028,0.05912
141,-0.01828,0.3473
142,0.3657,-0.6157
143,-0.3217,0.0981
144,-0.872,-0.3257
145,-0.1719,0.08271
146,-0.02441,0.3211
147,0.5675,0.8338
148,0.002131,-0.3692
149,-0.591,0.2214
150,-0.2306,0.2765
151,-0.5413,0.5526
152,-0.9193,0.5818
153,-0.7397,0.5865
154,-0.3637,0.2778
155,-0.6662,0.0864
156,-0.7471,0.3689
157,0.5316,-0.8331
158,-0.2656,-0.05382
159,-0.1514,-0.5879
160,-0.2569,-0.5255
161,0.5477,-0.2447
162,-0.2815,0.568
163,-0.7923,0.6076
164,-0.7839,0.1603
165,-0.561,-0.4007
166,-0.1576,-0.6533
167,-0.1084,-0.001889
168,-0.04653,-0.2008
169,0.7529,-0.1972
170,-0.09402,-0.5368
171,0.359,-0.4123
172,-0.03712,-0.781
173,0.07073,-0.1348
174,-0.1549,-0.08409
175,-0.113,-0.361
176,-0.1685,-0.06653
177,-0.3957,0.1308
178,-0.1702,-0.2915
179,0.02166,-0.005919
180,0.472,0.3789
181,-0.5806,0.7304
182,0.2641,-0.5361
183,-0.02057,0.04463
184,-0.08808,-0.8102
185,-0.6605,0.3764
186,-0.3213,-0.2081
187,-0.03493,-0.08147
188,0.09104,0.07653
189,0.1353,0.6804
190,-0.6371,0.3343
191,-0.3214,-0.1879
192,0.002286,-0.4599
193,0.1878,-0.04244
194,-0.1597,0.05512
195,0.1657,-0.108
196,0.3745,-0.2639
197,-0.1202,-0.06129
198,0.5633,0.2862
199,-0.9567,0.1247
200,-0.2314,0.1481
201,0.03787,-0.1238
202,-0.694,-0.2918
203,0.1165,-0.7716
204,0.289,0.4766
205,-0.0829,0.3034
206,-0.08317,-0.236
207,0.3331,-0.2909
208,0.4386,-0.00228
209,-0.3742,-0.407
210,0.5649,-0.1881
211,0.1573,-0.01546
212,0.009876,0.09268
213,-0.7014,0.6262
214,-0.002958,0.2559
215,-0.4661,-0.1813
216,-0.4484,-0.6363
217,-0.279,-0.05103
218,-0.5447,-0.2237
219,-0.3961,-0.8733
220,0.2626,0.1198
221,-0.4574,0.3997
222,-0.01571,-0.3989
223,0.3794,0.1884
224,0.177,-0.4024
225,0.4092,0.1511
226,0.1124,-0.1055
227,0.3062,-0.2784
228,-0.4953,-0.3768
229,-0.008817,-0.2885
230,0.02171,-0.2571
231,0.08716,-0.07557
232,0.4057,-0.1392
233,-0.3093,-0.3276
234,0.9693,0.09973
235,0.9619,0.1872
236,0.3911,-0.03463
237,-0.5414,0.6117
238,-0.1023,-0.08299
239,0.2853,-0.05636
240,-0.5538,-0.1242
241,-0.04606,0.1477
242,0.1323,-0.8
243,0.516,0.1099
244,-0.8607,0.3199
245,0.3254,-0.7118
246,-0.2443,0.2248
247,0.1925,-0.3514
248,0.5817,0.75
249,0.2031,-0.1542
250,-0.357,-0.7793
251,-0.1171,-0.3989
252,0.04778,-0.3147
253,0.4126,0.01035
254,0.0712,0.2482
255,0.2411,-0.1409
256,0.1551,-0.2204
257,-0.2711,-0.2253
258,0.6732,-0.1754
259,0.08182,0.01103
260,-0.2167,-0.2884
261,0.3896,-0.3633
262,-0.6292,-0.0991
263,0.09099,-0.04304
264,-0.2136,-0.2623
265,-0.7713,-0.4927
266,-0.2975,-0.002608
267,0.1543,-0.1939
268,-0.03963,-0.8253
269,-0.3359,0.158
270,0.1383,0.07575
271,-0.03854,0.07488
272,0.05337,0.159
273,0.2918,0.09621
274,-1.017,0.1141
275,-0.08161,0.07517
276,0.3599,-0.7733
277,-0.3834,-0.2304
278,-0.1832,0.6863
279,-0.02666,-0.6429
280,-0.2356,-0.1631
281,-0.3469,-0.252
282,0.2839,0.4396
283,-0.195,-0.1656
284,-0.01228,-0.379
285,0.6099,-0.9223
286,-0.005691,-0.03592
287,0.05754,-0.3121
288,-0.2422,-0.2159
289,-0.03076,0.148
290,-0.04702,-0.1163
291,-0.0541,-0.3406
292,0.5249,0.08691
293,1.063,-0.07562
294,0.3532,-0.1588
295,-0.3598,-0.4529
296,0.1322,-0.3688
297,-0.366,-0.3396
298,0.6006,-0.01884
299,-0.2468,0.4149
300,-0.1604,0.07717
301,0.004743,0.6155
302,-0.09771,-0.7897
303,0.2513,-0.4699
304,0.5078,-0.9513
305,-0.01207,-0.7645
306,-0.1333,-0.5122
307,-0.1204,-0.1579
308,-0.7223,0.1695
309,-0.08838,-0.1612
310,-1.085,0.1512
311,0.2665,-0.4689
312,-1.014,0.1128
313,0.4551,0.121
314,0.2147,-0.2923
315,0.166,-0.9024
316,-0.008956,-0.2393
317,0.2254,-0.5134
318,0.4847,-0.1204
319,-0.2876,-0.2099
320,-0.2021,-0.01735
321,-0.4441,0.4934
322,-0.04382,-0.00967
323,-0.3491,0.1836
324,-0.1711,-0.05714
325,-0.1453,-0.4818
326,-0.1749,0.6724
327,-0.1812,-0.4152
328,-0.1377,-0.1426
329,0.1802,-0.8874
330,0.09961,0.1464
331,0.7556,-0.3277
332,-0.08555,-0.1144
333,-0.5441,-0.07749
334,0.4174,0.03182
335,0.03905,0.2202
336,0.05557,-0.00619
337,-0.663,0.7298
338,-0.1824,0.1631
339,0.255,-0.02385
340,0.5846,0.2958
341,-0.728,0.1032
342,-0.5107,-0.1287
343,0.2013,0.1121
344,0.02674,-0.02856
345,-0.7131,-0.1915
346,-0.07179,0.4235
347,0.09494,-0.3501
348,0.09895,-0.2075
349,0.2974,-0.04152
350,-0.2011,0.3067
351,0.3427,-0.02288
352,-0.3495,-0.1066
353,-0.3018,0.08257
354,0.1669,-0.2311
355,-0.7411,-0.3105
356,-0.4886,-0.3188
357,0.2047,-0.3629
358,-0.1087,0.3521
359,0.3275,-0.9505
360,-0.4924,-0.06268
361,0.3531,-0.09449
362,-0.5742,-0.08891
363,0.1774,-0.2591
364,1.28,-0.08221
365,0.09268,0.1902
366,-0.4135,-0.5629
367,-0.3039,-0.7543
368,0.06955,0.6038
369,-0.007377,0.08348
370,0.03436,-0.1429
371,0.5214,0.1583
372,-0.2146,-0.1288
373,0.7672,0.2467
374,-0.253,-0.2652
375,0.4612,0.2189
376,-0.1981,0.09186
377,-0.4725,0.2707
378,0.8833,-0.8612
379,0.1266,0.1996
380,0.4293,-0.4358
381,0.3749,-0.05206
382,0.1969,-0.154
383,0.1241,-0.153
384,-0.3642,0.2431
385,-0.3619,0.1753
386,0.4741,0.1503
387,0.9912,-0.1351
388,-0.6357,-0.00744
389,-0.5138,-0.4276
390,-0.1385,-0.582
391,0.4012,0.09534
392,0.5422,-0.4771
393,-0.07385,-0.3058
394,-0.3331,0.3369
395,0.6639,0.207
396,-0.6899,-0.1757
397,-0.9526,-0.87
398,0.2726,0.189
399,0.0862,-0.2279
400,-0.4784,0.09789
401,0.7347,-0.9585
402,0.2275,-0.1607
403,-0.2764,-0.1178
404,0.07206,0.7731
405,-0.534,-0.8002
406,0.4206,-0.7221
407,0.3616,-0.1615
408,0.2379,-0.6183
409,-0.4979,-0.7567
410,-0.2177,-0.2785
411,-0.4565,-0.1333
412,-0.08115,0.4777
413,0.3301,-0.3214
414,0.1995,0.192
415,-0.05771,-0.4988
416,0.2886,-0.001166
417,0.3319,-0.4826
418,-0.7666,-0.2132
419,-0.01644,0.02789
420,-0.4532,-0.7558
421,0.4749,-0.259
422,0.4025,0.06822
423,0.1576,-0.07542
424,0.2351,-0.181
425,0.8411,-0.09677
426,-0.2588,-0.4026
427,-0.2338,-0.2844
428,-0.7987,0.445
429,-0.6197,-0.1363
430,-0.2428,-0.04657
431,-0.03751,0.1784
432,0.2892,-0.8062
433,-0.1044,-0.3404
434,-0.4456,-0.6468
435,-0.3556,-0.6397
436,-0.1404,-0.1188
437,-0.5325,-0.4974
438,-0.3382,-0.4553
439,-0.3441,0.2398
440,0.06207,-0.148
441,-0.6322,0.06614
442,0.4789,0.1086
443,1.442,-0.2769
444,-0.3729,0.008168
445,-0.03386,-0.2735
446,0.4889,-0.2664
447,0.605,-0.4085
448,0.4925,0.07742
449,0.4183,0.09751
450,-0.059,0.05073
451,0.1794,-0.08259
452,0.04042,-0.4029
453,-0.02141,0.4325
454,0.4166,-0.1536
455,0.5404,0.04346
456,0.5186,-0.3516
457,0.6222,-0.4543
458,0.9929,0.14
459,0.9799,-0.4949
460,-0.5782,0.7332
461,0.4195,-0.1094
462,-0.3197,0.3125
463,-0.418,-0.2914
464,-0.7974,-0.1508
465,-0.3187,0.002429
466,0.04287,-0.1076
467,0.221,0.2802
468,-0.2245,-0.3915
469,0.09801,-0.1583
470,0.4813,-0.6606
471,-0.02111,0.1675
472,0.2838,-0.2758
473,-0.443,-0.2945
474,-0.452,-0.5695
475,-0.07073,0.1518
476,-0.4233,-0.7262
477,-0.2615,0.08787
478,-0.1564,-0.3051
479,-0.5592,-0.2165
480,0.05428,0.2548
481,-0.1306,-0.1508
482,0.07239,0.1378
483,-0.6974,-0.5637
484,-0.06534,-0.1787
485,0.1019,-0.7992
486,0.3871,0.07626
487,-0.1879,-0.04136
488,-0.5196,-0.2687
489,-0.6279,0.002286
490,0.1821,-0.282
491,0.2897,-0.0211
492,-0.06988,-0.5625
493,0.1316,0.2337
494,-0.856,0.237
495,-0.22,0.234
496,-0.4187,0.5338
497,-0.2953,0.3757
498,-0.2975,-0.1559
499,-0.5278,0.2388
500,0.006689,0.04917
501,0.1476,-0.3861
502,-0.4061,-0.5016
503,0.05886,-1.181
504,-0.5413,-0.01361
505,-0.3414,-0.151
506,0.3442,0.2966
507,0.1781,-0.03261
508,-0.04419,-0.08002
509,0.4404,-0.06294
510,0.5076,-1.206
511,-0.9125,0.4755
512,0.3433,-0.005816
513,-0.4117,-0.5785
514,0.4268,0.119
515,-0.04781,-0.5637
516,-0.5404,-0.2342
517,-0.2578,-0.4948
518,0.08854,0.08273
519,0.3528,0.3063
520,0.3312,0.5362
521,-0.4866,-0.1108
522,0.3352,-0.64
523,0.06098,-0.2804
524,0.1684,-0.369
525,-0.2667,-0.1327
526,-0.01031,-0.341
527,-0.3956,-0.8026
528,-0.1403,-0.2079
529,-0.5864,-0.1726
530,0.7996,0.6221
531,-0.3977,-0.471
532,0.1222,0.01226
533,-0.0003588,0.9058
534,0.1673,-0.1702
535,-0.3512,-0.317
536,-0.2897,0.2629
537,-0.6422,0.4669
538,-0.528,0.497
539,-0.6263,0.4056
540,-1.002,-0.2362
541,0.2187,-0.1843
542,0.07141,-0.774
543,-0.5471,-0.4141
544,0.3033,0.3274
545,-0.2862,-0.988
546,0.1794,-0.2846
547,-0.245,0.1788
548,-0.3038,-0.5195
549,0.1527,-0.3613
550,0.2146,-1.101
551,0.01138,0.3439
552,0.3075,-0.3052
553,0.5748,-0.8747
554,0.03396,0.1252
555,0.1204,0.003
556,0.1168,-0.04678
557,0.4841,-0.8783
558,0.01006,-0.1068
559,0.6835,0.1954
560,-0.3202,-0.3761
561,-0.4122,-0.2152
562,-0.3054,-0.08285
563,-0.2568,0.2742
